record - object_number,record - Title - title,record - Production - creator - name,record - Production - creator - birth.date.start,record - Production - creator - death.date.start,record - Dimension - dimension.unit - term,record - Dimension - dimension.type - term,record - Dimension - dimension.value,record - Material - material - term,record - institution.name - name,record - Object_name - object_name - term,record - Production - creator.date_of_birth,record - production.period - linkreffield,record - production.period - term,record - Production_date - production.date.start,record - Production_date - production.date.end,IRL,Rights
,,,,,,,,vernis,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.114,Weiblicher Felsen,Fritz Wotruba,1907-04-23,1975-08-28,cm,hoogte,124,limestone,Middelheimmuseum (Antwerpen),sculpture,1907-04-23,production.period.lref,20ste eeuw (tweede kwart),1947,1948,http://middelheimmuseum.be/collection/work/id/MID_B_114,https://creativecommons.org/publicdomain/zero/1.0/
,Female rock,,,,cm,breedte,159,kalksteen,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Roc féminin,,,,cm,diepte,88,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Vrouwelijke rots,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.KM.2610,Sorgen des Alltags,Rik Wouters,1882-08-21,1916-07-11,cm,hoogte,222,bronze,Koninklijk Museum voor Schone Kunsten (Antwerpen),standbeeld,1882-08-21,production.period.lref,20th century (first quarter),1913,1913,http://middelheimmuseum.be/collection/work/id/MID_LB_KM_2610,https://creativecommons.org/publicdomain/zero/1.0/
,Domestic cares,,,,cm,breedte,76,brons,,,,,20ste eeuw (eerste kwart),,,,https://creativecommons.org/publicdomain/zero/1.0/
,Soucis domestiques,,,,cm,diepte,76,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Huiselijke zorgen,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.536,Misconceivable,Erwin Wurm,1954,,m,hoogte,10,plastic,Middelheimmuseum (Antwerpen),installatie,1954,production.period.lref,21ste eeuw (eerste kwart),2010,2010,http://middelheimmuseum.be/collection/work/id/MID_B_536,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,plastic,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,breedte,7.10,wood,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,hout,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,diepte,2.26,metal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,metaal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,laquer,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,lak,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.151,Orphée,Ossip Zadkine,1890-07-14,1967-11-25,cm,hoogte,299,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1890-07-14,production.period.lref,20ste eeuw (derde kwart),1956,1956,http://middelheimmuseum.be/collection/work/id/MID_B_151,https://creativecommons.org/publicdomain/zero/1.0/
,Orpheus,,,,cm,breedte,107,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,67,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.KA.0000,Saint Jean-Baptiste,Auguste Rodin,1840-11-12,1917-11-17,cm,hoogte,200,gypsum,Koninklijke Academie voor Schone Kunsten (Antwerpen),rondsculptuur,1840-11-12,production.period.lref,19de eeuw (vierde kwart),1878,1880,http://middelheimmuseum.be/collection/work/id/MID_LB_KA_0000,https://creativecommons.org/publicdomain/zero/1.0/
,Saint Jean prêchant dans le désert en Création de l'homme,,,,cm,breedte,55,gips,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,St.-Jean Baptiste,,,,cm,diepte,98,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Johannes de Doper,,,,cm,hoogte,226,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,128,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,82,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.KA.0001,Jules Dalou,Auguste Rodin,1840-11-12,1917-11-17,cm,hoogte,53,gypsum,Koninklijke Academie voor Schone Kunsten (Antwerpen),bust,1840-11-12,production.period.lref,19de eeuw (vierde kwart),1883,,http://middelheimmuseum.be/collection/work/id/MID_LB_KA_0001,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,43,gips,,buste,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,24,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.KM.2196,Balzac,Auguste Rodin,1840-11-12,1917-11-17,cm,hoogte,273,bronze,Koninklijk Museum voor Schone Kunsten (Antwerpen),standbeeld,1840-11-12,production.period.lref,19de eeuw (vierde kwart),1892,1897,http://middelheimmuseum.be/collection/work/id/MID_LB_KM_2196,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,120,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,120,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.KM.1965,Das bronze Zeitalter,Auguste Rodin,1840-11-12,1917-11-17,cm,hoogte,182,bronze,Koninklijk Museum voor Schone Kunsten (Antwerpen),standbeeld,1840-11-12,production.period.lref,19de eeuw (vierde kwart),1876,1880,http://middelheimmuseum.be/collection/work/id/MID_LB_KM_1965,https://creativecommons.org/publicdomain/zero/1.0/
,The bronze age,,,,cm,breedte,65,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,L'âge d'airain,,,,cm,diepte,59,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Bronzen tijdperk,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.009,Le bélier rétif,Antoine Bourdelle,1861-10-30,1929-10-01,cm,hoogte,53,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1861-10-30,production.period.lref,20th century (first quarter),1909,1909,http://middelheimmuseum.be/collection/work/id/MID_B_009,https://creativecommons.org/publicdomain/zero/1.0/
,Widerspenstiger Widder,,,,cm,breedte,43,brons,,,,,20ste eeuw (eerste kwart),,,,https://creativecommons.org/publicdomain/zero/1.0/
,Stubborn ram,,,,cm,diepte,26,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Bélier rétif,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Weerspannige ram,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.027,Herakles Bogenschütze,Antoine Bourdelle,1861-10-30,1929-10-01,cm,hoogte,248,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1861-10-30,production.period.lref,20th century (first quarter),1909,1909,http://middelheimmuseum.be/collection/work/id/MID_B_027,https://creativecommons.org/publicdomain/zero/1.0/
,Heracles the archer,,,,cm,breedte,242,brons,,,,,20ste eeuw (eerste kwart),,,,https://creativecommons.org/publicdomain/zero/1.0/
,Héracles archer,,,,cm,diepte,133,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Heracles boogschutter,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.035,Dr. Koeberlé,Antoine Bourdelle,1861-10-30,1929-10-01,cm,hoogte,68,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1861-10-30,production.period.lref,20th century (first quarter),1914,1914,http://middelheimmuseum.be/collection/work/id/MID_B_035,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,52,brons,,bust,,,20ste eeuw (eerste kwart),,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,43,,,buste,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
